Unnamed: 0,Date,Score,Normalized_Score
439,2021-08-27,60,0.053010223
440,2021-09-03,43.2,0.037107156
441,2021-09-10,36,0.030291556
442,2021-09-17,66.4,0.059068535
443,2021-09-24,7.2,0.003029156
444,2021-10-01,80.4,0.07232109
445,2021-10-08,43.2,0.037107156
446,2021-10-15,75.6,0.067777357
447,2021-10-22,36,0.030291556
448,2021-10-29,48,0.04165089
449,2021-11-05,62.4,0.05528209
450,2021-11-12,90.4,0.081787202
451,2021-11-19,74.4,0.066641424
452,2021-11-26,20.8,0.015903067
453,2021-12-03,20.4,0.015524423
454,2021-12-10,75.2,0.067398713
455,2021-12-17,50.4,0.043922757
456,2021-12-24,110.4,0.100719424
457,2021-12-31,86.4,0.078000757
458,2022-01-07,7.2,0.003029156
459,2022-01-14,262.8,0.244982961
460,2022-01-21,90,0.081408557
461,2022-01-28,72,0.064369557
462,2022-02-04,68.4,0.060961757
463,2022-02-11,63.6,0.056418023
464,2022-02-18,61.2,0.054146157
465,2022-02-25,111.6,0.101855358
466,2022-03-04,115.2,0.105263158
467,2022-03-11,1060.4,1
468,2022-03-18,30.4,0.024990534
469,2022-03-25,107.6,0.098068913
470,2022-04-01,256,0.238546005
471,2022-04-08,144.4,0.132904203
472,2022-04-15,118.4,0.108292314
473,2022-04-22,71.2,0.063612268
474,2022-04-29,54.4,0.047709201
475,2022-05-06,27.2,0.021961378
476,2022-05-13,31.2,0.025747823
477,2022-05-20,92.4,0.083680424
478,2022-05-27,65.2,0.057932601
479,2022-06-03,65.6,0.058311246
480,2022-06-10,84,0.075728891
481,2022-06-17,42,0.035971223
482,2022-06-24,18.4,0.0136312
483,2022-07-01,60,0.053010223
484,2022-07-08,32,0.026505112
485,2022-07-15,12.8,0.008330178
486,2022-07-22,151.2,0.139341159
487,2022-07-29,51.6,0.04505869
488,2022-08-05,18.4,0.0136312
489,2022-08-12,158.4,0.146156759
490,2022-08-19,95.2,0.086330935
491,2022-08-26,13.6,0.009087467
492,2022-09-02,20,0.015145778
493,2022-09-09,150,0.138205225
494,2022-09-16,68.4,0.060961757
495,2022-09-23,17.6,0.012873911
496,2022-09-30,41.6,0.035592579
497,2022-10-07,119.2,0.109049602
498,2022-10-14,45.6,0.039379023
499,2022-10-21,42,0.035971223
500,2022-10-28,83.6,0.075350246
501,2022-11-04,132,0.121166225
502,2022-11-11,92.4,0.083680424
503,2022-11-18,52.4,0.045815979
504,2022-11-25,72,0.064369557
505,2022-12-02,189.6,0.175691026
