Date,¼ÒºñÁö_ÀüÀï¹×ºÐÀï_¹Ì±¹_impact_score_sum,¼ÒºñÁö_ÀüÀï¹×ºÐÀï_¹Ì±¹__impact_score_mean,¼ÒºñÁö_ÀüÀï¹×ºÐÀï_¹Ì±¹__pos_frequency,¼ÒºñÁö_ÀüÀï¹×ºÐÀï_¹Ì±¹__neg_frequency,¼ÒºñÁö_ÀüÀï¹×ºÐÀï_¹Ì±¹__zero_frequency,¼ÒºñÁö_ÀüÀï¹×ºÐÀï_¹Ì±¹__sentiment
2024.6.21 0:00,27,1.6875,7,2,7,1
2024.6.28 0:00,25,0.862068966,7,2,20,1
2024.7.5 0:00,13,0.590909091,5,2,15,1
2024.7.12 0:00,3,0.230769231,3,2,8,1
2024.7.19 0:00,11,0.647058824,4,1,12,1
2024.7.26 0:00,7,0.7,2,0,8,1
2024.8.2 0:00,22,1.047619048,6,2,13,1
2024.8.9 0:00,10,0.526315789,3,0,16,1
2024.8.16 0:00,55,2.391304348,8,0,15,1
2024.8.23 0:00,44,1.833333333,13,5,6,1
2024.8.30 0:00,-12,-0.8,3,6,6,-1
2024.9.6 0:00,2,0.1,3,4,13,1
2024.9.13 0:00,39,1.3,8,4,18,1
2024.9.20 0:00,30,0.857142857,8,2,25,1
2024.9.27 0:00,49,1.633333333,7,1,22,1
2024.10.4 0:00,131,2.62,21,5,24,1
2024.10.11 0:00,14,0.666666667,7,4,10,1
2024.10.18 0:00,15,0.882352941,4,1,12,1
2024.10.25 0:00,-8,-0.333333333,3,5,16,-1
2024.11.1 0:00,29,0.828571429,8,7,20,1
2024.11.8 0:00,-56,-1.4,4,14,22,-1
2024.11.15 0:00,1,0.043478261,2,4,17,1
2024.11.22 0:00,21,0.75,6,4,18,1
2024.11.29 0:00,46,1.210526316,13,7,18,1
2024.12.6 0:00,247,3.686567164,44,7,16,1
2024.12.13 0:00,103,1.980769231,20,8,24,1
2024.12.20 0:00,31,0.563636364,13,8,34,1
2024.12.27 0:00,47,3.916666667,10,1,1,1
